"Date","Price","Open","High","Low","Change %"
"Oct 17, 2019","7.0774","7.0959","7.1016","7.0643","-0.23%"
"Oct 16, 2019","7.0935","7.0965","7.1045","7.0896","0.17%"
"Oct 15, 2019","7.0818","7.0663","7.0834","7.0629","0.20%"
"Oct 14, 2019","7.0675","7.0908","7.0910","7.0505","-0.29%"
"Oct 11, 2019","7.0880","7.1155","7.1155","7.0872","-0.40%"
"Oct 10, 2019","7.1162","7.1314","7.1314","7.1024","-0.23%"
"Oct 09, 2019","7.1324","7.1430","7.1523","7.1190","-0.17%"
"Oct 08, 2019","7.1444","7.1324","7.1503","7.1214","-0.05%"
"Oct 07, 2019","7.1483","7.1483","7.1483","7.1483","0.00%"
"Oct 04, 2019","7.1483","7.1483","7.1483","7.1483","0.00%"
"Oct 03, 2019","7.1483","7.1483","7.1483","7.1483","0.00%"
"Oct 02, 2019","7.1483","7.1483","7.1483","7.1483","0.00%"
"Oct 01, 2019","7.1483","7.1483","7.1483","7.1483","0.00%"
"Sep 30, 2019","7.1483","7.1303","7.1483","7.1174","0.36%"
"Sep 27, 2019","7.1227","7.1315","7.1388","7.1190","-0.14%"
"Sep 26, 2019","7.1326","7.1290","7.1375","7.1243","0.01%"
"Sep 25, 2019","7.1318","7.1154","7.1344","7.1075","0.22%"
"Sep 24, 2019","7.1164","7.1184","7.1235","7.1039","-0.03%"
"Sep 23, 2019","7.1185","7.0908","7.1300","7.0908","0.38%"
"Sep 20, 2019","7.0916","7.0958","7.0980","7.0815","-0.07%"
"Sep 19, 2019","7.0965","7.0851","7.1052","7.0851","0.15%"
"Sep 18, 2019","7.0860","7.0900","7.0927","7.0839","-0.08%"
"Sep 17, 2019","7.0918","7.0672","7.0983","7.0672","0.35%"
"Sep 16, 2019","7.0674","7.0789","7.0789","7.0627","-0.17%"
"Sep 13, 2019","7.0794","7.0814","7.0814","7.0794","0.00%"
"Sep 12, 2019","7.0793","7.0977","7.1030","7.0641","-0.53%"
"Sep 11, 2019","7.1167","7.1174","7.1238","7.1049","0.06%"
"Sep 10, 2019","7.1127","7.1211","7.1212","7.0976","-0.13%"
"Sep 09, 2019","7.1220","7.1147","7.1357","7.1147","0.09%"
"Sep 06, 2019","7.1157","7.1461","7.1576","7.1126","-0.46%"
"Sep 05, 2019","7.1485","7.1426","7.1566","7.1235","0.03%"
"Sep 04, 2019","7.1460","7.1819","7.1819","7.1460","-0.46%"
"Sep 03, 2019","7.1789","7.1714","7.1847","7.1703","0.10%"
"Sep 02, 2019","7.1719","7.1547","7.1738","7.1547","0.21%"
"Aug 30, 2019","7.1568","7.1459","7.1575","7.1392","0.17%"
"Aug 29, 2019","7.1445","7.1634","7.1715","7.1382","-0.29%"
"Aug 28, 2019","7.1653","7.1618","7.1701","7.1551","0.04%"
"Aug 27, 2019","7.1623","7.1434","7.1708","7.1434","0.15%"
"Aug 26, 2019","7.1513","7.1360","7.1535","7.1349","0.78%"
"Aug 23, 2019","7.0960","7.0893","7.1018","7.0731","0.18%"
"Aug 22, 2019","7.0836","7.0601","7.0940","7.0601","0.29%"
"Aug 21, 2019","7.0632","7.0594","7.0668","7.0499","0.04%"
"Aug 20, 2019","7.0605","7.0495","7.0686","7.0495","0.14%"
"Aug 19, 2019","7.0507","7.0386","7.0514","7.0381","0.11%"
"Aug 16, 2019","7.0428","7.0362","7.0472","7.0359","0.13%"
"Aug 15, 2019","7.0340","7.0273","7.0433","7.0169","0.14%"
"Aug 14, 2019","7.0244","7.0205","7.0293","7.0104","-0.27%"
"Aug 13, 2019","7.0435","7.0587","7.0724","7.0434","-0.21%"
"Aug 12, 2019","7.0582","7.0603","7.0693","7.0537","-0.06%"
"Aug 09, 2019","7.0624","7.0438","7.0624","7.0438","0.25%"
"Aug 08, 2019","7.0451","7.0588","7.0588","7.0363","-0.21%"
"Aug 07, 2019","7.0602","7.0353","7.0643","7.0298","0.48%"
"Aug 06, 2019","7.0264","7.0508","7.0605","7.0160","-0.35%"
"Aug 05, 2019","7.0508","7.0176","7.0564","7.0150","1.59%"
"Aug 02, 2019","6.9405","6.8985","6.9504","6.8985","0.61%"
"Aug 01, 2019","6.8986","6.8837","6.9065","6.8837","0.21%"
"Jul 31, 2019","6.8841","6.8857","6.8888","6.8777","-0.01%"
"Jul 30, 2019","6.8845","6.8904","6.8933","6.8754","-0.13%"
"Jul 29, 2019","6.8934","6.8792","6.8958","6.8759","0.21%"
"Jul 26, 2019","6.8792","6.8707","6.8818","6.8707","0.10%"
"Jul 25, 2019","6.8726","6.8689","6.8777","6.8665","0.00%"
"Jul 24, 2019","6.8725","6.8794","6.8840","6.8676","-0.10%"
"Jul 23, 2019","6.8792","6.8808","6.8846","6.8742","-0.03%"
"Jul 22, 2019","6.8811","6.8820","6.8834","6.8754","-0.02%"
"Jul 19, 2019","6.8822","6.8773","6.8822","6.8712","0.03%"
"Jul 18, 2019","6.8800","6.8712","6.8822","6.8712","0.09%"
"Jul 17, 2019","6.8736","6.8753","6.8835","6.8720","-0.04%"
"Jul 16, 2019","6.8762","6.8778","6.8799","6.8707","-0.02%"
"Jul 15, 2019","6.8777","6.8804","6.8830","6.8700","-0.05%"
"Jul 12, 2019","6.8808","6.8694","6.8820","6.8682","0.15%"
"Jul 11, 2019","6.8702","6.8724","6.8765","6.8587","-0.04%"
"Jul 10, 2019","6.8729","6.8863","6.8895","6.8700","-0.22%"
"Jul 09, 2019","6.8880","6.8879","6.8931","6.8806","0.09%"
"Jul 08, 2019","6.8819","6.8936","6.8960","6.8757","-0.17%"
"Jul 05, 2019","6.8936","6.8741","6.8939","6.8720","0.32%"
"Jul 04, 2019","6.8716","6.8761","6.8773","6.8677","-0.14%"
"Jul 03, 2019","6.8811","6.8762","6.8929","6.8751","0.12%"
"Jul 02, 2019","6.8729","6.8504","6.8834","6.8504","0.31%"
"Jul 01, 2019","6.8517","6.8673","6.8673","6.8341","-0.22%"
"Jun 28, 2019","6.8668","6.8748","6.8801","6.8595","-0.15%"
"Jun 27, 2019","6.8771","6.8785","6.8846","6.8738","-0.04%"
"Jun 26, 2019","6.8800","6.8876","6.8937","6.8658","0.00%"
"Jun 25, 2019","6.8798","6.8715","6.8851","6.8655","0.04%"
"Jun 24, 2019","6.8770","6.8736","6.8873","6.8700","0.10%"
"Jun 21, 2019","6.8700","6.8524","6.8793","6.8336","0.26%"
"Jun 20, 2019","6.8520","6.8949","6.8960","6.8441","-0.75%"
"Jun 19, 2019","6.9036","6.9042","6.9115","6.9024","0.01%"
"Jun 18, 2019","6.9032","6.9278","6.9330","6.9022","-0.33%"
"Jun 17, 2019","6.9258","6.9254","6.9276","6.9201","0.00%"
"Jun 14, 2019","6.9255","6.9205","6.9262","6.9200","0.06%"
"Jun 13, 2019","6.9216","6.9184","6.9230","6.9153","0.06%"
"Jun 12, 2019","6.9177","6.9110","6.9236","6.9095","0.09%"
"Jun 11, 2019","6.9114","6.9297","6.9297","6.9075","-0.28%"
"Jun 10, 2019","6.9310","6.9243","6.9366","6.9243","0.31%"
"Jun 07, 2019","6.9097","6.9122","6.9122","6.9097","0.00%"
"Jun 06, 2019","6.9097","6.9101","6.9184","6.9070","0.01%"
"Jun 05, 2019","6.9091","6.9075","6.9150","6.9011","0.01%"
"Jun 04, 2019","6.9083","6.9034","6.9150","6.8978","0.07%"
"Jun 03, 2019","6.9037","6.9044","6.9101","6.8978","-0.02%"
"May 31, 2019","6.9050","6.9027","6.9158","6.8995","0.04%"
"May 30, 2019","6.9019","6.9131","6.9156","6.8978","-0.18%"
"May 29, 2019","6.9145","6.9104","6.9182","6.9088","0.06%"
"May 28, 2019","6.9101","6.8983","6.9158","6.8983","0.18%"
"May 27, 2019","6.8979","6.8990","6.8994","6.8804","-0.03%"
"May 24, 2019","6.9002","6.9085","6.9149","6.8967","-0.15%"
"May 23, 2019","6.9105","6.9057","6.9211","6.9057","0.06%"
"May 22, 2019","6.9064","6.9008","6.9159","6.8962","0.06%"
"May 21, 2019","6.9023","6.9114","6.9179","6.8972","-0.14%"
"May 20, 2019","6.9123","6.9007","6.9174","6.9000","-0.09%"
"May 17, 2019","6.9187","6.8822","6.9187","6.8822","0.51%"
"May 16, 2019","6.8838","6.8747","6.8861","6.8731","0.11%"
"May 15, 2019","6.8761","6.8754","6.8812","6.8640","0.00%"
"May 14, 2019","6.8760","6.8776","6.8888","6.8642","-0.03%"
"May 13, 2019","6.8784","6.8240","6.8824","6.8240","0.80%"
"May 10, 2019","6.8240","6.8269","6.8278","6.7951","-0.05%"
"May 09, 2019","6.8274","6.7823","6.8307","6.7823","0.66%"
"May 08, 2019","6.7828","6.7759","6.7850","6.7656","0.09%"
"May 07, 2019","6.7769","6.7639","6.7810","6.7563","0.18%"
"May 06, 2019","6.7645","6.7379","6.8010","6.7379","0.44%"
"May 03, 2019","6.7346","6.7345","6.7346","6.7325","0.00%"
"May 02, 2019","6.7346","6.7348","6.7348","6.7325","-0.00%"
"May 01, 2019","6.7349","6.7369","6.7369","6.7349","0.00%"
"Apr 30, 2019","6.7349","6.7328","6.7418","6.7311","0.02%"
"Apr 29, 2019","6.7336","6.7292","6.7364","6.7265","0.06%"
"Apr 26, 2019","6.7298","6.7436","6.7436","6.7263","-0.20%"
"Apr 25, 2019","6.7431","6.7222","6.7496","6.7222","0.32%"
"Apr 24, 2019","6.7219","6.7251","6.7259","6.7145","-0.06%"
"Apr 23, 2019","6.7259","6.7114","6.7276","6.7084","0.21%"
"Apr 22, 2019","6.7120","6.7036","6.7149","6.7023","0.12%"
"Apr 19, 2019","6.7042","6.7063","6.7074","6.7001","-0.07%"
"Apr 18, 2019","6.7091","6.6871","6.7095","6.6845","0.31%"
"Apr 17, 2019","6.6882","6.7108","6.7116","6.6841","-0.36%"
"Apr 16, 2019","6.7122","6.7081","6.7134","6.7054","0.05%"
"Apr 15, 2019","6.7086","6.7043","6.7110","6.7036","0.06%"
"Apr 12, 2019","6.7044","6.7194","6.7235","6.6989","-0.22%"
"Apr 11, 2019","6.7194","6.7132","6.7197","6.7103","0.05%"
"Apr 10, 2019","6.7160","6.7176","6.7188","6.7099","0.06%"
"Apr 09, 2019","6.7119","6.7127","6.7195","6.7079","-0.07%"
"Apr 08, 2019","6.7164","6.7144","6.7218","6.7110","-0.04%"
